description,amount,category,type,date
Vet bill for pet checkup for family,1439,Others,expense,2025-03-03
Bus ticket to Chandigarh confirmed,6369,Travel,expense,2023-04-27
Family movie night at PVR confirmed,7067,Entertainment,expense,2025-09-10
shopping at Uniqlo,8369,Shopping,expense,2023-07-10
Box8 dinner order,227,Food,expense,2023-05-05
Auto rickshaw fare to hospital again,3327,Travel,expense,2025-11-20
ola cab booking to college again,7710,Travel,expense,2023-01-20
bought a laptop bag,12113,Shopping,expense,2026-01-01
payment received for tuition classes this month,31484,Others,income,2024-05-17
SALON HAIRCUT AND GROOMING,37889,Others,expense,2024-03-06
Winter clothes bought from H&M done,11235,Shopping,expense,2025-04-07
SALARY CREDITED AFTER TAX DEDUCTION,48509,Salary,income,2026-06-19
Festive sale shopping on Meesho - noted,30574,Shopping,expense,2023-06-24
Amazon Prime Video subscription via GPay,7767,Entertainment,expense,2026-05-11
Ordered sandwich from CCD completed,1035,Food,expense,2025-04-27
Rapido bike ride to airport completed,14295,Travel,expense,2024-06-20
Rent paid for September via PhonePe,16984,Rent,expense,2023-08-22
Salary credited for December 2025 completed,182579,Salary,income,2023-07-25
Festive sale shopping on Meesho done,26692,Shopping,expense,2025-06-10
Rent paid for November completed,7838,Rent,expense,2023-08-02
Ordered pizza from Dominos done,779,Food,expense,2026-06-15
paying guest accommodation rent today,44897,Rent,expense,2025-09-02
car insurance premium paid,35546,Others,expense,2024-04-19
Salary received from employer for family,110258,Salary,income,2025-02-05
Spotify premium payment via GPay again,6580,Entertainment,expense,2025-07-03
electricity bill payment for family,16630,Others,expense,2024-07-27
flight ticket booking to pune,7404,Travel,expense,2023-11-18
Flat rent for the month of April completed,16789,Rent,expense,2026-03-16
Movie tickets at PVR via GPay,9803,Entertainment,expense,2025-02-01
Family dinner at food court urgent,2745,Food,expense,2023-05-02
RENT TRANSFERRED TO FLAT OWNER VIA UPI,23853,Rent,expense,2025-05-04
Plumber service payment confirmed,12419,Others,expense,2025-01-29
Freelance graphic design payment received this month,9227,Others,income,2025-08-08
Rent paid for July today,48368,Rent,expense,2024-08-03
Movie tickets at PVR - noted,7969,Entertainment,expense,2023-11-10
Monthly rent paid to society office - noted,45645,Rent,expense,2024-05-04
studio apartment rent payment again,19848,Rent,expense,2024-09-21
Bus ticket to Hyderabad,1301,Travel,expense,2026-08-10
RENT PAID FOR MAY,16180,Rent,expense,2023-02-28
salary credited for February 2023 confirmed,168582,Salary,income,2023-12-02
Old bond maturity amount credited - noted,13840,Others,income,2023-03-27
Salary credited for May 2024 again,38876,Salary,income,2023-05-03
Rent paid for September - paid online,19312,Rent,expense,2026-06-11
Annual increment salary credited,172584,Salary,income,2026-06-22
Broadband bill payment (cash),27905,Others,expense,2026-02-01
auto rickshaw fare to home urgent,17890,Travel,expense,2026-04-10
New outfit purchased from Van Heusen completed,37023,Shopping,expense,2023-10-27
bought clothes from lifestyle,39409,Shopping,expense,2025-09-24
Rent paid for June urgent,45190,Rent,expense,2024-11-24
FLAT RENT FOR THE MONTH OF APRIL,38858,Rent,expense,2025-04-10
Net salary after deductions credited (cash),146334,Salary,income,2024-06-28
Salary credited for January 2024 completed,91648,Salary,income,2023-12-03
Salary credited after tax deduction,56923,Salary,income,2024-10-21
Salary credited for August 2024 for family,159519,Salary,income,2025-08-28
Music concert tickets booked today,3035,Entertainment,expense,2023-10-21
Family dinner at local restaurant (cash),940,Food,expense,2023-05-21
Grocery shopping at More Supermarket urgent,2768,Food,expense,2025-04-18
Old bond maturity amount credited completed,5361,Others,income,2026-08-20
bought clothes from pantaloons via GPay,14549,Shopping,expense,2024-05-24
Monthly grocery haul at More Supermarket,414,Food,expense,2026-03-21
Family movie night at Cinepolis this month,7371,Entertainment,expense,2023-05-11
Salary credited for June 2024 completed,51623,Salary,income,2026-05-21
Ordered noodles from McDonald's,2034,Food,expense,2024-05-14
Rental income received from tenant this month,38639,Others,income,2024-12-13
Rent paid for July this month,40397,Rent,expense,2024-04-07
Ola cab booking to airport,9819,Travel,expense,2026-05-25
Salary credited for November 2024 this month,40573,Salary,income,2023-06-19
Quick snack from Zomato,536,Food,expense,2025-05-20
Flipkart shopping haul today,16893,Shopping,expense,2026-02-01
late night CCD order this month,2762,Food,expense,2024-11-17
youtube premium subscription this month,7127,Entertainment,expense,2024-06-28
late night Starbucks order urgent,1792,Food,expense,2023-04-21
cycle rickshaw fare via GPay,948,Travel,expense,2026-07-15
paying guest accommodation rent,28290,Rent,expense,2026-07-04
Bowling with friends urgent,5001,Entertainment,expense,2025-12-14
youtube premium subscription via PhonePe,8822,Entertainment,expense,2025-02-05
New gadget purchased at Apple Store this month,34883,Shopping,expense,2025-10-02
pet care expenses for family,3500,Others,expense,2023-10-21
Salary credited for December 2025,27650,Salary,income,2024-03-23
Water park tickets purchased,581,Entertainment,expense,2024-06-13
Salary credited for August 2023 - paid online,158547,Salary,income,2024-12-11
Grocery shopping at local kirana store completed,2985,Food,expense,2023-03-05
Monthly pay credited to account via UPI,123094,Salary,income,2023-02-19
Refund received from Amazon this month,12040,Others,income,2024-01-20
Salary credited for January 2024,128859,Salary,income,2025-02-25
Purchased home decor items done,12960,Shopping,expense,2023-12-16
Tax refund credited again,5793,Others,income,2024-10-12
New outfit purchased from Max Fashion via PhonePe,15102,Shopping,expense,2024-05-05
Meesho shopping haul again,18593,Shopping,expense,2024-11-27
Bought clothes from Lifestyle today,15238,Shopping,expense,2026-04-01
Bus ticket to Chennai completed,10109,Travel,expense,2025-10-16
RENT PAID TO BROKER,33801,Rent,expense,2025-04-16
Flight ticket booking to Pune today,10039,Travel,expense,2026-07-02
old bond maturity amount credited - noted,28604,Others,income,2026-03-24
bought clothes from levis via UPI,2962,Shopping,expense,2024-01-31
RENTAL INCOME RECEIVED FROM TENANT for family,31188,Others,income,2025-04-15
comic con tickets booked (cash),6810,Entertainment,expense,2025-12-05
PLAYSTATION PLUS SUBSCRIPTION,9712,Entertainment,expense,2023-02-26
Weekend movie outing at PVR via UPI,4937,Entertainment,expense,2023-10-20
Monthly grocery haul at Big Bazaar urgent,1443,Food,expense,2023-09-03
rent paid via bank transfer urgent,31594,Rent,expense,2023-05-23
House rent for September completed,39858,Rent,expense,2025-12-27
Consulting salary credited this month,113167,Salary,income,2023-03-31
Myntra shopping haul - noted,4981,Shopping,expense,2024-02-21
HOUSE RENT FOR JUNE,39677,Rent,expense,2023-08-30
Dividend received from mutual funds - noted,30311,Others,income,2025-08-03
Family dinner at office canteen today,811,Food,expense,2024-01-30
LPG gas cylinder booking via GPay,17808,Others,expense,2025-12-29
Ordered pasta from Barista today,1101,Food,expense,2023-06-26
Cab fare to Jaipur for business trip again,6244,Travel,expense,2025-06-02
Rapido bike ride to airport this month,15532,Travel,expense,2025-12-19
salary credited for August 2024,35857,Salary,income,2023-06-03
Book club membership fee again,3881,Entertainment,expense,2025-05-26
rent paid for october again,37527,Rent,expense,2023-11-05
wow momo food delivery,1697,Food,expense,2025-05-08
salary credited for February 2023,182480,Salary,income,2024-07-24
New outfit purchased from Van Heusen urgent,28466,Shopping,expense,2025-01-28
Reimbursement credited by company - noted,2021,Others,income,2023-05-29
ola cab booking to client meeting,5444,Travel,expense,2023-04-20
Weekend movie outing at Carnival Cinemas today,3152,Entertainment,expense,2026-01-21
Breakfast at food court via GPay,2555,Food,expense,2025-11-06
Salary credited for May 2024 via PhonePe,104734,Salary,income,2026-04-21
RENTAL INCOME RECEIVED FROM TENANT,24379,Others,income,2025-05-08
SHOPPING AT WESTSIDE,27748,Shopping,expense,2023-08-11
paid mess bill for the month,1084,Food,expense,2023-04-27
Comic con tickets booked,1213,Entertainment,expense,2025-08-25
Amazon Prime Video subscription - noted,5724,Entertainment,expense,2023-05-11
Family movie night at PVR completed,6991,Entertainment,expense,2024-06-15
Weekly groceries from Reliance Fresh,2927,Food,expense,2024-05-27
Ajio purchase,20967,Shopping,expense,2025-04-30
salary credited for June 2026 (cash),169908,Salary,income,2023-03-14
Movie tickets at PVR,1765,Entertainment,expense,2023-12-07
Salary credited for March 2026 via PhonePe,164203,Salary,income,2025-02-25
Society maintenance and rent paid - noted,35071,Rent,expense,2025-08-01
Gift money received from relative via UPI confirmed,32158,Others,income,2024-04-13
Bought gifts for friend's wedding completed,30871,Shopping,expense,2024-10-21
Salary credited for June 2024 today,196014,Salary,income,2024-09-14
Movie tickets at Cinepolis (cash) - noted,8325,Entertainment,expense,2023-04-16
Karaoke night with friends confirmed,5084,Entertainment,expense,2023-10-05
Family movie night at PVR - paid online,7970,Entertainment,expense,2023-03-17
ola cab booking to home for family,3979,Travel,expense,2025-05-21
Rent paid for December confirmed,31597,Rent,expense,2024-12-23
LPG gas cylinder booking confirmed,19361,Others,expense,2024-07-18
Festive sale shopping on Snapdeal - paid online,26060,Shopping,expense,2026-08-23
Breakfast at highway dhaba confirmed,2388,Food,expense,2024-12-26
Uber ride to railway station,4854,Travel,expense,2025-06-08
Escape room booking with friends via UPI,996,Entertainment,expense,2024-11-19
Broadband bill payment completed,17645,Others,expense,2023-02-25
Weekend movie outing at local multiplex (cash) this month,9091,Entertainment,expense,2025-07-23
Rent paid for January - noted,30086,Rent,expense,2025-04-11
Salary credited for September 2025 again,144977,Salary,income,2025-12-20
Sold old mobile phone - payment received via PhonePe,5891,Others,income,2024-08-27
Rent due cleared for this month - noted,36565,Rent,expense,2026-01-10
FLAT RENT FOR THE MONTH OF JANUARY,40342,Rent,expense,2023-12-29
advance rent paid for new flat done,8337,Rent,expense,2024-11-14
Chaayos lunch order via PhonePe,2349,Food,expense,2023-09-26
COLLEGE TUITION FEE PAID,1273,Others,expense,2023-07-20
Salary credited for June 2023 - paid online,166800,Salary,income,2026-06-08
New outfit purchased from Zara,25991,Shopping,expense,2025-05-04
Salary credited for March 2023 for family,81512,Salary,income,2024-02-13
Train ticket booked to Chennai via IRCTC,11277,Travel,expense,2025-02-06
Salary credited for January 2023 - paid online - noted,93706,Salary,income,2025-10-09
MUSIC CONCERT TICKETS BOOKED - paid online,9987,Entertainment,expense,2024-03-31
Quick snack from Behrouz Biryani for family,1240,Food,expense,2023-05-09
Temple donation - noted,13072,Others,expense,2025-05-27
Myntra purchase this month,6004,Shopping,expense,2026-05-20
bus ticket to Hyderabad,13407,Travel,expense,2023-01-01
Cab fare to Chandigarh for business trip - noted,1937,Travel,expense,2025-01-16
Temple donation done,25494,Others,expense,2023-11-09
SALARY CREDITED FOR MAY 2023,13090,Salary,income,2026-05-20
Movie tickets at Cinepolis completed,5701,Entertainment,expense,2026-06-28
Rent paid for February done,44407,Rent,expense,2025-01-03
Office rent paid,27659,Rent,expense,2026-08-06
Nykaa shopping haul for family,41412,Shopping,expense,2025-04-03
grocery shopping at big bazaar,1600,Food,expense,2025-01-11
Family movie night at Cinepolis (cash) completed,5000,Entertainment,expense,2024-10-11
Credit card bill payment urgent,37758,Others,expense,2023-03-10
old bond maturity amount credited confirmed,13999,Others,income,2024-05-15
House rent for June today,46241,Rent,expense,2025-08-27
Tiffin service monthly payment today,2968,Food,expense,2026-06-30
Quick snack from Swiggy urgent,1283,Food,expense,2024-02-29
Vegetables and fruits from Nature's Basket,183,Food,expense,2026-06-26
COMIC CON TICKETS BOOKED,4356,Entertainment,expense,2023-01-25
Water park tickets purchased again,3795,Entertainment,expense,2024-09-09
Theme park annual pass,872,Entertainment,expense,2025-01-13
FLAT RENT FOR THE MONTH OF SEPTEMBER confirmed,26981,Rent,expense,2023-05-16
Weekly groceries from local vegetable market,511,Food,expense,2025-06-27
Rent paid for 1BHK flat,22814,Rent,expense,2025-02-28
Insurance claim amount credited via GPay again,25852,Others,income,2023-03-25
Freelance writing payment received today,33374,Others,income,2025-06-09
Uber ride to mall confirmed,14354,Travel,expense,2024-03-09
Reimbursement credited by company done,21840,Others,income,2025-02-17
Monthly pay credited to account confirmed,158261,Salary,income,2024-08-23
House rent for August confirmed,41377,Rent,expense,2023-10-17
Weekly groceries from local vegetable market - paid online,2490,Food,expense,2024-09-22
Gift money received from relative today,38579,Others,income,2025-05-27
RAPIDO BIKE RIDE TO HOME,8743,Travel,expense,2026-02-09
Freelance writing payment received completed,30879,Others,income,2023-07-12
Winter clothes bought from Levis again,16623,Shopping,expense,2025-05-01
Salary credited for August 2025 via GPay,42915,Salary,income,2023-07-07
Online order from Snapdeal today,33380,Shopping,expense,2025-06-29
Theme park annual pass for family,7825,Entertainment,expense,2026-03-19
ola cab booking to college,1188,Travel,expense,2025-08-19
Rental car booking for trip,2437,Travel,expense,2025-12-06
Rent paid for November,45905,Rent,expense,2024-08-18
Rented apartment monthly dues this month,19554,Rent,expense,2025-06-03
Breakfast at roadside stall today,1121,Food,expense,2023-03-09
Bought clothes from Van Heusen,32118,Shopping,expense,2024-05-26
Salary credited for July 2024 this month,12492,Salary,income,2023-05-06
KARAOKE NIGHT WITH FRIENDS for family,8382,Entertainment,expense,2024-06-23
DTH recharge payment again,25313,Others,expense,2026-07-07
Kitchen appliances purchased,40596,Shopping,expense,2026-01-07
bought curtains and bedsheets,8550,Shopping,expense,2023-07-16
Loan EMI payment this month,36626,Others,expense,2025-07-17
Water park tickets purchased this month,8320,Entertainment,expense,2026-01-21
House rent for March via UPI,24342,Rent,expense,2024-02-22
Winter clothes bought from Allen Solly via PhonePe,30397,Shopping,expense,2025-12-19
Weekend movie outing at INOX today,8159,Entertainment,expense,2025-08-26
Zoo entry tickets for family,7073,Entertainment,expense,2024-07-08
Refund received from Amazon again,38455,Others,income,2025-09-17
ORDERED SANDWICH FROM KFC,2784,Food,expense,2023-06-04
OTT platform subscription renewal - paid online,7540,Entertainment,expense,2024-09-21
Faasos food delivery,1803,Food,expense,2023-07-14
Quick snack from Barista,1975,Food,expense,2026-06-18
Bus ticket to Chandigarh this month,17363,Travel,expense,2025-09-03
Rent due cleared for this month via UPI,32366,Rent,expense,2025-09-12
Bought clothes from Pantaloons today,47588,Shopping,expense,2023-03-04
NEW OUTFIT PURCHASED FROM ALLEN SOLLY for family,26794,Shopping,expense,2025-05-12
Uber ride to home done,11849,Travel,expense,2025-07-08
Ola cab booking to hospital again,15244,Travel,expense,2026-05-03
Rapido bike ride to office urgent,16308,Travel,expense,2023-03-02
Home loan EMI paid,24499,Others,expense,2024-03-15
bought curtains and bedsheets for family,18973,Shopping,expense,2024-05-13
bus ticket to chandigarh,603,Travel,expense,2025-07-25
Salary credited for April 2024 done,167743,Salary,income,2026-07-27
concert tickets booked done,6527,Entertainment,expense,2024-01-12
Monthly salary credited via GPay,109438,Salary,income,2024-01-13
flat rent for the month of February,18356,Rent,expense,2026-01-24
Bought a laptop bag for family,49625,Shopping,expense,2026-05-29
Bus ticket to Hyderabad - noted,5275,Travel,expense,2024-02-12
Salary credited to savings account,103780,Salary,income,2024-09-29
Rent paid to broker urgent,34017,Rent,expense,2025-02-11
Family movie night at Carnival Cinemas confirmed,9274,Entertainment,expense,2023-09-03
Prize money received from contest,509,Others,income,2024-08-10
YouTube Premium subscription completed,294,Entertainment,expense,2024-10-14
Salary received from employer,29113,Salary,income,2026-05-13
New outfit purchased from Uniqlo,15028,Shopping,expense,2023-11-08
Gift money received from relative - paid online,1983,Others,income,2025-11-18
family movie night at local multiplex for family,4501,Entertainment,expense,2024-12-08
Movie tickets at INOX done,1224,Entertainment,expense,2024-12-19
Family movie night at Cinepolis again,7487,Entertainment,expense,2024-01-16
Bought clothes from Max Fashion for family,24842,Shopping,expense,2025-05-16
Salary credited for September 2023 completed,83175,Salary,income,2023-11-27
Bought clothes from Zara - noted,12935,Shopping,expense,2025-12-13
New outfit purchased from Westside via GPay,2342,Shopping,expense,2023-10-01
Train ticket booked to Kolkata via IRCTC,14922,Travel,expense,2024-04-20
Uber ride to mall today,7153,Travel,expense,2024-07-08
SALARY CREDITED FOR DECEMBER 2025 - noted,96820,Salary,income,2025-03-11
Salary credited for October 2026 urgent,112521,Salary,income,2026-06-09
Rent cheque cleared again,45012,Rent,expense,2023-03-19
Ola cab booking to hospital,14097,Travel,expense,2025-04-04
Ordered biryani from Zomato - noted,601,Food,expense,2023-03-29
Annual increment salary credited confirmed,189611,Salary,income,2025-01-02
INTEREST CREDITED ON SAVINGS ACCOUNT,27736,Others,income,2023-09-16
Street food evening with friends for family,2488,Food,expense,2025-09-28
salary credited for december 2025,143964,Salary,income,2023-06-08
weekend brunch at highway dhaba,264,Food,expense,2023-03-05
Salary credited for January 2023 - noted,72531,Salary,income,2024-02-14
salary credited for december 2026 again,163126,Salary,income,2025-04-26
shared flat rent contribution,17595,Rent,expense,2024-05-27
House rent for June this month,22200,Rent,expense,2026-06-19
wow momo dinner order confirmed,1795,Food,expense,2026-04-22
Evening snacks at highway dhaba,2374,Food,expense,2024-05-07
Rent paid for May confirmed,15046,Rent,expense,2023-08-30
Salary credited for December 2026 completed,86413,Salary,income,2025-02-10
flat rent for the month of june,27873,Rent,expense,2023-03-17
New outfit purchased from Van Heusen again,27675,Shopping,expense,2023-12-20
Salary credited for February 2023 via GPay,101679,Salary,income,2023-08-12
Vet bill for pet checkup,3623,Others,expense,2025-09-24
vegetables and fruits from Big Bazaar today,2246,Food,expense,2023-03-11
House rent for March - noted,28169,Rent,expense,2024-03-23
Purchased a bicycle,11475,Shopping,expense,2025-10-20
Weekly groceries from Big Bazaar,174,Food,expense,2025-01-12
Flight ticket booking to Mumbai,14079,Travel,expense,2025-05-02
Monthly rent paid to society office today,49731,Rent,expense,2024-10-19
water bill payment,27828,Others,expense,2024-09-27
Gift money received from relative completed,33541,Others,income,2026-04-28
Flat rent for the month of June again,23094,Rent,expense,2026-04-12
Winter clothes bought from Van Heusen today,4314,Shopping,expense,2025-10-08
Rent split with roommate paid for family,32465,Rent,expense,2025-02-01
Movie tickets at Carnival Cinemas (cash),536,Entertainment,expense,2024-12-11
Shopping at Levis this month,23958,Shopping,expense,2023-08-21
Rent paid for October confirmed,40119,Rent,expense,2023-02-08
Stock market profit withdrawn today,15830,Others,income,2025-09-02
water purifier service charge urgent,31272,Others,expense,2024-06-03
Family dinner at local restaurant,1063,Food,expense,2025-04-06
monthly rent paid to landlord,33262,Rent,expense,2023-03-29
Dinner at dhaba,2376,Food,expense,2025-09-23
Breakfast at office canteen - noted,2178,Food,expense,2023-06-01
Winter clothes bought from Levis done,49141,Shopping,expense,2024-06-19
movie tickets at cinepolis done,4758,Entertainment,expense,2024-05-18
Paid house rent - noted,21903,Rent,expense,2025-02-08
Medicine purchase from pharmacy done,31642,Others,expense,2025-09-03
Faasos order for family,156,Food,expense,2026-02-05
Weekend brunch at food court for family,766,Food,expense,2025-07-13
late night Swiggy order today,673,Food,expense,2025-10-28
Purchased home decor items,6944,Shopping,expense,2024-09-06
Starbucks order for family - noted,1219,Food,expense,2023-09-12
Flight ticket booking to Delhi - noted,18466,Travel,expense,2026-07-09
winter clothes bought from uniqlo,15229,Shopping,expense,2026-03-24
Flat rent for the month of June via GPay,20072,Rent,expense,2023-06-07
netflix subscription,5675,Entertainment,expense,2025-09-09
evening snacks at dhaba,861,Food,expense,2023-05-21
interest credited on savings account done,12491,Others,income,2024-06-14
Bowling with friends again,7586,Entertainment,expense,2023-02-27
Sold old furniture - payment received - noted,6027,Others,income,2024-08-20
Family movie night at PVR today,2503,Entertainment,expense,2023-06-04
Dividend received from mutual funds - paid online today,37496,Others,income,2023-06-11
Sold used books - payment received - noted,14443,Others,income,2024-06-04
Rent paid for September (cash),35151,Rent,expense,2024-10-08
SALARY CREDITED FOR FEBRUARY 2026 today,167568,Salary,income,2025-02-17
Salary credited for October 2023 completed,174321,Salary,income,2026-07-02
Consulting salary credited again,125560,Salary,income,2025-01-21
Salary credited for April 2026 confirmed,101462,Salary,income,2026-03-17
Comic con tickets booked completed,1934,Entertainment,expense,2025-04-30
Ola cab booking to office,13289,Travel,expense,2025-11-28
gym membership fee completed,5681,Others,expense,2024-11-14
House rent for July completed,12619,Rent,expense,2024-06-12
bought clothes from uniqlo completed,25104,Shopping,expense,2025-03-06
weekend movie outing at inox today,6544,Entertainment,expense,2024-04-29
Salary credited for February 2025 via GPay,61289,Salary,income,2023-01-19
Salary credited for August 2026 (cash),192401,Salary,income,2025-06-01
Bus ticket to Chennai urgent,3008,Travel,expense,2024-11-01
plumber service payment,37737,Others,expense,2024-03-31
Rent transferred to flat owner via UPI confirmed,9349,Rent,expense,2024-12-21
freelance graphic design payment received via GPay,28888,Others,income,2026-01-29
SALARY CREDITED FOR AUGUST 2026 via GPay,62535,Salary,income,2023-12-19
Salary credited for March 2025 (cash),150618,Salary,income,2025-12-21
Dominos dinner order,273,Food,expense,2024-12-23
GIFT MONEY RECEIVED FROM RELATIVE - noted,23194,Others,income,2025-07-07
amusement park tickets done,4886,Entertainment,expense,2026-03-07
Online order from Ajio completed,28434,Shopping,expense,2023-10-01
Salary credited to savings account for family,188640,Salary,income,2023-10-16
Referral bonus credited,35695,Others,income,2024-02-21
Train ticket booked to Surat via IRCTC,17556,Travel,expense,2024-07-03
Evening snacks at friend's place urgent,1171,Food,expense,2025-01-06
SALARY CREDITED FOR FEBRUARY 2024,31104,Salary,income,2026-05-12
Evening snacks at dhaba today,1472,Food,expense,2023-01-03
OTT PLATFORM SUBSCRIPTION RENEWAL via GPay,3065,Entertainment,expense,2023-12-25
Rent paid for January urgent,32987,Rent,expense,2026-05-31
Rent paid for February this month,23564,Rent,expense,2026-05-10
Movie tickets at Cinepolis,4946,Entertainment,expense,2023-08-18
late night Wow Momo order urgent,438,Food,expense,2025-05-19
Salary credited for September 2023 again,102239,Salary,income,2026-02-27
Loan EMI payment again,25038,Others,expense,2026-05-18
board game cafe outing - noted,894,Entertainment,expense,2026-01-12
Monthly rent paid to society office for family,16574,Rent,expense,2026-02-09
Vegetables and fruits from DMart confirmed,2933,Food,expense,2025-05-06
New gadget purchased at Croma completed,42624,Shopping,expense,2025-11-30
Video game purchase on Steam confirmed,4658,Entertainment,expense,2024-01-18
Winter clothes bought from Zara (cash),15130,Shopping,expense,2024-12-14
New phone purchase again,16391,Shopping,expense,2026-07-07
Salary credited for May 2024 urgent,175968,Salary,income,2026-08-15
Shopping at Max Fashion for family,2817,Shopping,expense,2026-03-06
Barista food delivery,2353,Food,expense,2023-03-17
salary credited for june 2024 - paid online,96127,Salary,income,2024-09-03
Family dinner at rooftop cafe done,794,Food,expense,2023-10-12
Lunch with friends at local restaurant this month,676,Food,expense,2024-04-07
Family dinner at office canteen confirmed,836,Food,expense,2026-01-31
kitchen appliances purchased,40452,Shopping,expense,2026-02-17
Donation to charity done,13772,Others,expense,2026-04-28
Dinner at local restaurant confirmed,1443,Food,expense,2026-06-03
Bike servicing at garage (cash),641,Travel,expense,2023-04-12
Salary credited by HR department done,12603,Salary,income,2026-02-22
Freelance project payment received - paid online,9149,Others,income,2024-10-06
weekend movie outing at PVR urgent,5951,Entertainment,expense,2025-05-23
family movie night at INOX,427,Entertainment,expense,2023-09-06
Salary credited for June 2026 urgent,89537,Salary,income,2024-03-27
Sold used books - payment received this month,17455,Others,income,2026-08-09
Nykaa shopping haul,6640,Shopping,expense,2026-01-04
salary credited for april 2024 urgent,161385,Salary,income,2025-03-31
Karaoke night with friends via UPI,585,Entertainment,expense,2023-07-03
Festive sale shopping on Snapdeal for family,237,Shopping,expense,2023-05-16
netflix subscription confirmed,5398,Entertainment,expense,2023-01-06
Zoo entry tickets for family via UPI,4111,Entertainment,expense,2025-07-17
Auto rickshaw fare to hospital via GPay,4309,Travel,expense,2023-09-17
Salary credited for September 2026,61376,Salary,income,2023-02-14
